crop,N,P,K,ph,rainfall,temperature,humidity
Cotton(Lint),112.23,51.41,74.22,6.69,554.75,23.68,63.62
Cotton(Lint),112.59,52.15,84.72,6.69,953.03,29.52,55.73
Cotton(Lint),114.41,58.23,87.06,7.78,846.61,20.61,51.86
Cotton(Lint),91.16,54.96,74.93,7.35,988.18,25.8,64.84
Cotton(Lint),93.54,57.05,60.13,6.27,591.18,33.66,66.02
Cotton(Lint),116.27,56.12,75.59,6.07,501.59,33.4,60.78
Cotton(Lint),108.48,50.19,76.91,6.49,733.92,22.15,58.77
Cotton(Lint),90.62,51.45,73.99,6.16,584.25,27.63,62.79
Cotton(Lint),103.72,59.19,83.15,6.16,870.93,33.71,68.49
Cotton(Lint),119.81,50.74,80.25,7.94,760.67,27.1,64.41
Cotton(Lint),110.27,45.23,62.55,7.76,856.76,21.55,63.74
Cotton(Lint),104.46,51.41,74.94,6.35,669.55,29.92,62.29
Cotton(Lint),97.81,51.37,61.72,6.1,646.05,22.79,50.12
Cotton(Lint),92.47,49.47,78.47,6.64,747.76,27.96,65.76
Cotton(Lint),114.3,54.56,60.74,7.05,585.63,23.45,62.82
Cotton(Lint),102.16,47.19,60.72,6.06,742.36,27.27,63.32
Cotton(Lint),91.04,45.06,60.7,6.04,685.61,25.39,50.22
Cotton(Lint),101.33,57.2,69.31,7.87,745.62,24.37,66.41
Cotton(Lint),116.79,45.09,83.08,7.67,987.46,22.3,61.7
Cotton(Lint),112.54,49.19,65.49,6.71,902.74,27.65,66.94
Cotton(Lint),104.7,48.49,87.47,7.35,820.82,26.54,62.59
Cotton(Lint),93.91,58.18,73.45,7.56,666.85,27.66,50.09
Cotton(Lint),101.43,53.65,73.24,7.98,952.32,28.79,55.69
Cotton(Lint),99.64,57.51,89.97,6.9,517.32,26.91,58.28
Cotton(Lint),93.27,46.74,80.85,7.18,543.76,21.49,50.74
Cotton(Lint),106.31,50.07,60.91,7.85,793.96,27.49,57.06
Cotton(Lint),114.03,59.47,82.97,6.8,563.95,32.73,67.83
Cotton(Lint),98.98,50.08,88.17,7.35,713.05,29.54,54.49
Cotton(Lint),98.85,51.34,73.91,6.68,785.68,34.95,58.35
Cotton(Lint),99.59,49.4,74.43,7.63,784.17,20.32,59.94
Cotton(Lint),97.88,56.27,67.77,6.33,999.63,27.88,58.53
Cotton(Lint),98.52,48.6,67.16,7.91,928.73,22.58,64.26
Cotton(Lint),96.2,50.56,72.69,6.39,637.82,25.37,57.88
Cotton(Lint),103.62,57.9,66.12,6.35,863.74,25.57,59.0
Cotton(Lint),119.24,57.97,80.82,7.9,559.78,27.98,61.62
Cotton(Lint),106.16,45.25,64.88,7.69,989.43,22.26,61.36
Cotton(Lint),101.97,47.77,78.94,7.36,637.79,22.98,65.89
Cotton(Lint),115.29,59.27,83.54,6.15,517.84,28.45,57.88
Cotton(Lint),93.31,50.59,69.14,6.52,799.74,34.65,57.61
Cotton(Lint),93.62,57.67,79.31,7.29,521.76,30.12,67.07
Cotton(Lint),92.39,47.4,85.26,7.55,872.03,34.98,59.08
Cotton(Lint),118.47,54.43,83.3,7.19,880.38,26.74,56.82
Cotton(Lint),96.72,53.81,76.75,7.55,511.21,26.98,52.46
Cotton(Lint),92.87,46.69,72.31,7.76,721.71,26.36,58.69
Cotton(Lint),113.39,52.72,80.58,7.33,541.71,22.34,69.82
Cotton(Lint),92.35,58.8,72.93,7.11,863.74,21.66,63.1
Cotton(Lint),92.68,45.59,85.79,7.55,745.7,22.87,53.35
Cotton(Lint),90.99,50.05,78.99,7.29,710.18,32.57,52.6
Cotton(Lint),108.74,53.68,66.11,6.97,957.17,33.23,63.25
Cotton(Lint),118.73,48.54,68.42,7.25,634.91,24.5,59.67
Cotton(Lint),110.89,55.36,62.64,6.42,808.02,34.3,64.48
Cotton(Lint),113.96,57.95,87.86,7.21,617.05,27.14,54.89
Cotton(Lint),117.41,51.17,66.09,6.68,724.12,34.27,63.61
Cotton(Lint),101.26,59.38,83.39,6.43,600.71,32.81,63.88
Cotton(Lint),110.68,55.41,85.02,7.73,703.52,32.59,53.04
Cotton(Lint),108.03,55.56,84.18,7.97,856.67,30.77,54.99
Cotton(Lint),102.98,51.63,87.45,7.08,569.14,26.25,55.0
Cotton(Lint),117.66,49.19,85.85,6.96,946.2,32.08,61.56
Cotton(Lint),116.7,53.72,87.97,7.65,650.67,22.03,68.15
Cotton(Lint),107.83,56.58,81.01,7.24,635.71,21.68,63.96
Cotton(Lint),100.42,47.59,68.27,6.94,564.23,29.13,51.74
Cotton(Lint),92.96,46.02,73.07,7.67,650.79,28.79,51.65
Cotton(Lint),107.4,49.29,77.17,6.23,910.78,23.48,54.0
Cotton(Lint),91.02,45.79,83.93,7.25,640.78,27.56,58.44
Cotton(Lint),96.38,51.69,62.65,7.99,875.12,30.55,52.85
Cotton(Lint),118.87,51.06,81.75,7.59,847.49,33.1,65.86
Cotton(Lint),97.7,45.26,89.18,6.2,858.31,21.97,56.46
Cotton(Lint),103.87,51.4,69.42,6.09,564.78,26.09,53.32
Cotton(Lint),105.86,56.38,83.63,6.55,701.71,25.06,55.23
Cotton(Lint),105.85,56.5,68.21,7.55,866.43,32.61,60.5
Cotton(Lint),96.58,48.48,88.05,7.83,914.88,31.35,60.83
Cotton(Lint),119.91,51.82,88.42,7.73,789.45,24.17,55.75
Cotton(Lint),105.3,59.1,80.64,7.04,912.05,27.18,56.91
Cotton(Lint),110.35,53.65,78.19,7.85,715.31,30.08,68.97
Cotton(Lint),116.64,58.73,65.22,7.94,896.26,33.19,66.44
Cotton(Lint),109.43,56.69,74.28,6.25,991.07,34.58,60.68
Cotton(Lint),105.63,48.82,79.21,7.2,933.16,26.97,50.04
Cotton(Lint),96.29,51.4,82.72,7.68,832.85,26.4,54.0
Cotton(Lint),91.82,51.95,85.57,7.88,743.29,29.24,61.16
Cotton(Lint),116.78,45.7,68.17,6.69,730.67,20.77,58.9
Cotton(Lint),101.1,48.01,68.14,6.39,895.84,26.81,63.94
Cotton(Lint),107.45,45.93,86.02,7.8,958.15,33.06,67.63
Cotton(Lint),109.34,53.0,71.59,6.84,936.34,31.28,53.89
Cotton(Lint),96.04,53.9,61.15,7.52,627.56,31.95,58.7
Cotton(Lint),109.85,58.84,82.5,7.76,768.63,34.57,65.84
Cotton(Lint),117.35,58.34,61.3,6.84,959.72,21.18,64.08
Cotton(Lint),103.88,50.17,65.97,7.68,839.97,26.13,64.02
Cotton(Lint),119.6,45.98,79.63,7.19,627.69,27.97,64.46
Cotton(Lint),95.9,53.23,70.53,7.6,529.5,31.42,54.29
Cotton(Lint),96.38,59.3,65.31,7.04,567.25,34.84,60.81
Cotton(Lint),117.6,48.22,75.19,7.37,688.79,33.46,63.52
Cotton(Lint),91.41,58.5,81.29,6.85,742.46,24.91,69.0
Cotton(Lint),111.3,53.8,88.47,7.76,531.6,31.96,56.23
Cotton(Lint),98.16,53.83,67.92,6.08,904.06,33.4,52.79
Cotton(Lint),111.79,55.87,89.75,8.0,884.64,30.84,53.98
Cowpea(Lobia),24.54,39.71,33.25,6.5,639.43,29.57,58.21
Cowpea(Lobia),35.17,36.52,32.89,6.83,743.64,32.55,54.79
Cowpea(Lobia),37.79,37.2,35.01,6.97,634.57,30.44,55.34
Cowpea(Lobia),25.86,39.15,36.18,6.5,775.39,29.35,57.65
Cowpea(Lobia),22.63,34.62,30.79,6.66,819.79,31.02,51.76
Cowpea(Lobia),21.55,38.06,33.05,6.7,673.49,31.8,52.68
Cowpea(Lobia),21.68,36.65,38.44,6.66,772.46,33.04,57.45
Cowpea(Lobia),29.68,35.28,30.54,7.08,901.61,34.5,52.97
Cowpea(Lobia),32.99,36.55,33.88,6.19,879.92,31.71,57.36
Cowpea(Lobia),22.48,37.12,35.1,6.61,675.09,31.56,58.57
Cowpea(Lobia),30.48,37.61,30.61,7.43,688.08,27.73,52.05
Cowpea(Lobia),34.33,32.69,39.18,6.74,961.52,32.28,52.97
Cowpea(Lobia),39.9,38.3,39.17,6.11,720.13,27.7,52.48
Cowpea(Lobia),39.84,30.4,31.9,6.31,826.02,27.59,57.32
Cowpea(Lobia),32.85,39.62,36.51,6.01,602.78,32.75,52.83
Cowpea(Lobia),21.21,33.2,39.36,6.71,902.76,25.13,52.14
Cowpea(Lobia),21.77,38.0,31.04,6.94,671.11,30.77,57.9
Cowpea(Lobia),23.19,36.41,34.46,6.18,691.04,32.09,58.75
Cowpea(Lobia),31.44,32.81,39.43,6.88,926.26,34.97,50.86
Cowpea(Lobia),38.79,33.54,30.97,6.06,844.49,28.75,56.79
Cowpea(Lobia),25.13,37.64,35.29,6.93,937.13,34.01,55.55
Cowpea(Lobia),22.31,31.67,38.17,6.88,797.62,31.21,55.53
Cowpea(Lobia),33.06,33.85,35.19,6.23,785.33,25.21,54.26
Cowpea(Lobia),25.76,37.16,37.97,7.31,845.96,26.1,56.79
Cowpea(Lobia),21.19,35.41,33.12,7.09,816.29,29.57,52.73
Cowpea(Lobia),33.9,39.58,32.98,7.16,641.26,25.11,58.41
Cowpea(Lobia),39.83,35.52,39.95,7.07,822.09,25.53,53.65
Cowpea(Lobia),35.3,35.96,35.97,7.48,827.82,30.67,50.02
Cowpea(Lobia),30.49,35.06,30.15,6.34,806.83,27.3,58.99
Cowpea(Lobia),34.32,37.57,34.81,7.42,833.36,31.27,51.64
Cowpea(Lobia),32.0,37.65,33.7,7.45,728.37,33.91,56.91
Cowpea(Lobia),25.16,35.19,35.09,7.18,625.89,28.46,50.92
Cowpea(Lobia),30.28,31.88,32.19,7.39,738.84,28.26,51.95
Cowpea(Lobia),26.87,37.29,35.01,6.48,843.16,26.28,55.09
Cowpea(Lobia),29.35,38.11,36.81,7.13,875.38,32.42,58.04
Cowpea(Lobia),35.37,39.28,34.88,7.3,928.54,28.8,57.53
Cowpea(Lobia),31.61,33.45,35.52,6.22,737.79,27.86,50.37
Cowpea(Lobia),38.64,38.98,38.07,6.07,629.74,25.21,58.75
Cowpea(Lobia),37.69,36.51,37.99,6.58,912.82,29.3,52.39
Cowpea(Lobia),37.55,37.77,38.65,6.28,957.41,32.71,50.69
Cowpea(Lobia),39.96,32.68,33.29,6.89,841.35,29.52,58.12
Cowpea(Lobia),27.25,36.08,31.01,7.41,795.97,31.63,53.39
Cowpea(Lobia),29.85,37.06,39.11,7.2,974.52,25.02,57.24
Cowpea(Lobia),35.04,30.43,33.35,7.04,714.18,30.36,59.82
Cowpea(Lobia),27.92,33.21,30.18,7.48,956.11,27.48,55.2
Cowpea(Lobia),26.1,38.08,39.85,6.77,826.22,26.16,50.28
Cowpea(Lobia),32.27,37.21,33.77,6.68,764.22,27.49,51.55
Cowpea(Lobia),34.75,34.57,33.72,6.71,928.82,25.25,58.04
Cowpea(Lobia),25.59,39.8,35.84,6.55,996.09,26.08,56.95
Cowpea(Lobia),31.08,39.11,37.02,6.97,941.89,26.82,59.21
Cowpea(Lobia),29.75,32.7,36.68,6.34,824.87,34.2,51.18
Cowpea(Lobia),33.67,38.15,31.19,7.21,751.43,29.67,55.37
Cowpea(Lobia),24.09,33.52,38.51,6.23,612.77,25.59,54.81
Cowpea(Lobia),28.16,39.83,30.89,7.25,737.29,32.82,58.92
Cowpea(Lobia),20.03,37.02,39.61,6.18,852.27,33.68,55.2
Cowpea(Lobia),31.76,32.41,39.19,6.77,884.19,32.51,57.6
Cowpea(Lobia),37.46,39.94,33.81,6.43,782.23,32.95,50.99
Cowpea(Lobia),25.26,32.37,35.32,6.01,767.25,33.74,55.61
Cowpea(Lobia),32.5,34.86,35.52,7.42,887.49,29.64,52.11
Cowpea(Lobia),22.69,35.54,38.02,7.41,683.77,26.46,50.94
Cowpea(Lobia),37.42,30.97,32.84,7.11,915.28,29.52,56.22
Cowpea(Lobia),29.39,32.07,37.47,6.66,902.74,29.19,53.55
Cowpea(Lobia),35.81,30.32,31.5,7.08,722.91,28.97,55.93
Cowpea(Lobia),38.49,36.97,37.21,6.82,642.37,32.56,59.06
Cowpea(Lobia),22.56,33.32,37.27,7.05,787.98,29.25,58.68
Cowpea(Lobia),22.64,33.21,34.48,7.47,618.62,33.6,57.92
Cowpea(Lobia),25.14,30.93,31.91,7.29,671.63,31.26,55.34
Cowpea(Lobia),39.54,31.89,37.24,7.02,959.52,27.52,57.93
Cowpea(Lobia),21.18,36.74,34.91,6.98,927.7,26.67,53.96
Cowpea(Lobia),30.65,38.85,33.99,6.61,644.54,29.73,58.33
Cowpea(Lobia),25.76,34.86,31.61,6.29,806.15,33.65,59.19
Cowpea(Lobia),32.79,36.93,33.61,7.47,651.48,26.22,58.41
Cowpea(Lobia),27.69,35.02,31.2,7.33,822.45,31.27,57.06
Cowpea(Lobia),27.05,35.84,35.92,6.57,741.79,31.41,52.52
Cowpea(Lobia),39.3,31.97,33.76,6.75,748.5,34.28,52.94
Cowpea(Lobia),25.44,37.22,38.01,6.98,986.75,27.42,54.28
Cowpea(Lobia),22.92,32.64,35.67,6.9,926.45,29.39,56.81
Cowpea(Lobia),22.11,39.52,35.04,6.48,680.25,25.37,59.45
Cowpea(Lobia),34.6,39.14,37.51,7.09,865.08,25.03,54.24
Cowpea(Lobia),39.06,30.73,30.62,6.53,726.86,28.32,52.86
Cowpea(Lobia),37.44,36.35,35.41,7.42,618.92,26.06,58.64
Cowpea(Lobia),38.47,33.71,33.89,6.97,634.79,34.21,50.9
Cowpea(Lobia),39.66,39.37,36.08,7.37,669.58,32.71,50.74
Cowpea(Lobia),32.45,39.91,33.03,7.08,939.73,31.46,58.02
Cowpea(Lobia),21.05,39.64,32.49,6.44,657.49,27.38,55.73
Cowpea(Lobia),36.76,37.27,32.26,7.49,872.34,34.05,56.4
Cowpea(Lobia),35.53,36.95,32.66,6.8,871.4,27.94,58.22
Cowpea(Lobia),37.67,36.74,35.79,6.57,621.15,27.51,50.35
Cowpea(Lobia),20.77,34.6,30.1,6.9,652.77,25.75,53.29
Cowpea(Lobia),27.46,30.34,36.8,7.41,807.77,34.49,55.23
Cowpea(Lobia),25.88,38.99,30.16,7.16,948.19,27.61,53.61
Cowpea(Lobia),36.01,35.25,31.33,6.05,777.6,30.17,58.78
Cowpea(Lobia),23.88,38.35,39.76,7.09,662.59,32.77,56.65
Cowpea(Lobia),32.14,31.19,32.5,7.22,900.32,33.91,51.79
Cowpea(Lobia),22.5,32.79,31.73,7.29,898.17,32.86,53.57
Cowpea(Lobia),21.53,35.26,33.83,7.23,924.22,31.23,51.08
Cowpea(Lobia),25.75,39.15,39.58,6.76,931.84,28.79,53.81
Cowpea(Lobia),37.39,38.81,39.96,6.08,914.39,25.57,57.9
Cowpea(Lobia),34.89,33.36,38.48,6.7,666.21,26.93,54.44
Cowpea(Lobia),23.05,33.2,36.7,6.89,867.0,31.88,59.38
Cowpea(Lobia),30.01,34.29,38.41,7.33,980.62,32.99,53.64
Cowpea(Lobia),21.24,36.9,37.1,6.14,603.67,28.76,53.48
Cowpea(Lobia),37.06,32.84,33.72,7.18,601.66,30.44,56.63
Cowpea(Lobia),31.04,31.11,36.89,7.15,628.6,25.93,51.06
Cowpea(Lobia),23.62,39.34,39.66,7.16,782.13,31.28,57.04
Cowpea(Lobia),23.35,31.83,37.74,6.84,859.29,32.73,59.83
Cowpea(Lobia),22.52,38.22,32.51,6.62,914.2,30.19,57.49
Cowpea(Lobia),32.48,38.38,32.18,6.42,744.02,33.13,53.55
Cowpea(Lobia),30.57,34.82,37.16,6.76,969.07,30.95,59.51
Cowpea(Lobia),37.97,33.94,33.41,7.4,697.53,27.83,52.69
Cowpea(Lobia),29.79,39.65,34.37,6.33,933.13,28.15,53.57
Cowpea(Lobia),23.97,39.3,39.54,6.91,961.81,32.39,56.93
Cowpea(Lobia),37.58,31.32,36.08,7.32,912.7,27.17,53.56
Cowpea(Lobia),27.23,37.81,35.02,6.51,887.99,33.07,54.09
Cowpea(Lobia),21.95,30.94,39.35,7.13,605.66,33.54,51.66
Cowpea(Lobia),32.58,37.2,33.79,7.06,734.23,29.05,56.11
Cowpea(Lobia),28.57,39.75,37.58,6.04,771.31,29.4,50.3
Cowpea(Lobia),20.95,37.03,39.14,6.38,806.27,29.26,53.83
Cowpea(Lobia),28.46,35.45,33.36,6.05,859.07,25.29,54.64
Cowpea(Lobia),30.75,35.5,32.05,6.41,938.38,34.1,52.95
Cowpea(Lobia),28.19,35.78,35.32,6.42,836.27,30.67,50.03
Cowpea(Lobia),23.54,31.35,30.44,6.33,748.68,30.01,59.66
Cowpea(Lobia),21.78,38.18,31.34,6.29,884.58,25.38,56.87
Cowpea(Lobia),24.37,31.94,31.25,6.63,754.25,25.95,54.65
Cowpea(Lobia),30.6,38.4,36.09,7.41,727.86,31.62,56.73
Cowpea(Lobia),30.18,33.69,30.06,6.26,945.92,33.85,56.3
Cowpea(Lobia),38.64,32.66,30.92,6.11,939.91,25.04,59.43
Cowpea(Lobia),37.86,36.83,38.29,6.87,652.74,25.05,54.83
Cowpea(Lobia),30.96,37.88,38.16,7.0,675.16,27.19,52.14
Cowpea(Lobia),22.45,35.84,31.89,7.0,806.5,25.52,57.62
Cowpea(Lobia),28.23,34.44,36.67,7.44,613.88,30.39,58.83
Cowpea(Lobia),24.8,30.44,32.89,6.51,662.58,33.05,54.81
Cowpea(Lobia),30.3,36.9,38.36,6.99,607.4,28.07,51.56
Cowpea(Lobia),27.88,37.58,37.48,6.37,815.88,34.16,56.92
Cowpea(Lobia),35.94,34.13,36.59,6.24,696.22,32.65,51.65
Cowpea(Lobia),24.49,32.38,32.13,6.47,661.47,26.6,55.07
Cowpea(Lobia),29.12,38.35,38.57,6.45,753.48,27.9,56.11
Cowpea(Lobia),33.27,34.09,39.72,6.57,801.04,30.98,53.8
Cowpea(Lobia),32.88,31.45,39.86,6.67,839.44,27.98,55.87
Cowpea(Lobia),29.05,31.29,37.48,6.48,869.57,29.81,56.53
Cowpea(Lobia),39.45,32.72,37.29,7.02,709.79,28.47,59.2
Cowpea(Lobia),34.85,32.84,30.27,6.73,666.21,30.37,57.02
Cowpea(Lobia),35.36,39.86,35.42,6.37,776.12,29.43,57.63
Cowpea(Lobia),35.83,37.61,32.42,6.42,853.07,29.73,58.26
Cowpea(Lobia),30.0,38.17,31.66,6.11,735.68,30.78,51.79
Cowpea(Lobia),20.19,39.68,39.56,6.48,706.9,30.75,52.7
Cowpea(Lobia),34.24,35.42,31.86,7.48,903.95,27.37,59.0
Cowpea(Lobia),24.58,37.05,32.77,7.2,703.03,27.23,55.29
Cowpea(Lobia),34.19,36.55,33.26,7.47,640.66,30.16,51.66
Cowpea(Lobia),33.48,39.76,30.41,7.24,672.88,34.62,54.83
Dry Chillies,52.99,35.29,30.65,7.2,604.42,22.41,47.8
Dry Chillies,53.31,31.78,32.68,6.28,535.39,23.75,48.83
Dry Chillies,54.9,34.15,39.83,7.28,960.91,26.0,59.68
Dry Chillies,55.41,36.62,35.81,7.22,539.99,28.03,55.19
Dry Chillies,57.59,34.64,38.67,6.67,527.3,27.25,41.81
Dry Chillies,50.47,37.53,39.1,6.03,996.68,23.92,52.14
Dry Chillies,51.45,35.29,32.79,7.28,956.33,25.66,46.49
Dry Chillies,50.81,33.47,34.04,6.79,574.26,27.4,55.58
Dry Chillies,57.13,39.08,32.57,6.38,911.75,26.31,51.2
Dry Chillies,58.57,38.5,35.42,7.24,813.01,26.18,50.99
Dry Chillies,55.7,34.62,38.35,7.49,811.89,25.26,47.13
Dry Chillies,56.32,31.68,37.32,7.25,610.24,21.6,51.15
Dry Chillies,55.08,33.7,33.66,7.12,986.99,22.77,40.37
Dry Chillies,55.85,31.21,30.24,7.2,884.87,27.97,56.86
Dry Chillies,53.15,30.74,35.26,7.27,998.39,25.98,51.0
Dry Chillies,54.73,33.35,36.0,6.55,810.97,28.46,49.42
Dry Chillies,51.32,30.31,36.22,6.91,815.03,27.92,54.17
Dry Chillies,51.96,34.99,37.23,6.86,684.04,23.88,54.91
Dry Chillies,54.05,30.02,31.62,6.84,977.97,24.42,59.63
Dry Chillies,51.15,32.34,35.53,7.11,803.01,28.34,40.98
Dry Chillies,56.42,38.16,32.5,7.16,610.94,27.17,54.48
Dry Chillies,59.68,30.38,32.83,6.79,512.48,24.81,41.63
Dry Chillies,56.8,36.78,32.31,6.5,748.27,26.74,48.36
Dry Chillies,53.69,31.67,31.35,6.76,700.9,28.33,55.43
Dry Chillies,54.35,34.09,30.71,6.29,843.8,22.39,51.69
Dry Chillies,54.05,36.87,31.99,7.03,552.91,29.35,47.37
Dry Chillies,52.68,38.49,33.64,7.19,726.1,25.51,44.09
Dry Chillies,51.86,35.1,35.04,6.09,973.93,27.03,43.83
Dry Chillies,53.8,33.91,31.98,7.13,994.13,20.87,47.27
Dry Chillies,51.12,32.58,31.73,7.21,716.18,27.87,46.98
Dry Chillies,59.34,33.09,36.92,6.57,694.22,27.33,59.82
Dry Chillies,55.85,38.26,39.19,6.13,787.71,29.48,57.78
Dry Chillies,50.27,32.56,38.41,6.55,690.58,28.56,55.0
Dry Chillies,56.63,31.87,33.63,6.51,636.97,27.39,57.91
Dry Chillies,53.27,36.86,31.15,7.39,576.35,23.47,40.73
Dry Chillies,59.33,39.71,38.03,6.43,618.71,23.47,45.8
Dry Chillies,51.74,37.19,32.42,6.09,930.34,22.28,41.18
Dry Chillies,52.42,32.22,33.86,6.57,735.68,29.72,58.12
Dry Chillies,54.46,34.35,37.56,6.12,543.5,21.18,58.05
Dry Chillies,59.53,39.69,31.8,7.08,724.58,27.34,48.06
Dry Chillies,54.74,39.72,33.94,6.2,851.26,22.01,45.29
Dry Chillies,53.47,36.86,31.01,6.59,990.25,29.76,40.33
Dry Chillies,52.43,33.93,33.32,7.46,853.96,27.8,51.07
Dry Chillies,59.95,33.78,38.18,6.95,756.94,22.25,41.36
Dry Chillies,55.17,30.12,34.28,6.39,640.49,23.91,57.46
Dry Chillies,54.93,31.4,38.54,6.05,973.63,24.72,52.65
Dry Chillies,59.65,33.85,35.1,6.25,757.63,27.09,49.59
Dry Chillies,52.03,32.47,30.31,7.02,667.84,22.92,59.95
Dry Chillies,53.52,37.44,31.78,7.27,882.37,26.52,55.33
Dry Chillies,52.12,31.82,32.08,6.9,628.96,27.89,50.42
Dry Chillies,56.96,37.19,34.14,7.47,966.93,20.08,40.97
Dry Chillies,53.22,30.38,32.75,6.86,637.34,26.83,50.32
Dry Chillies,55.23,30.28,30.04,6.26,596.14,25.61,58.31
Dry Chillies,53.99,32.96,31.02,6.57,607.55,21.3,45.7
Dry Chillies,55.56,39.62,32.59,6.16,679.64,25.63,41.67
Dry Chillies,53.75,31.72,34.85,7.02,660.77,23.64,50.12
Dry Chillies,52.06,33.06,32.8,6.79,537.74,28.82,46.3
Dry Chillies,59.65,30.18,34.67,6.28,745.8,26.61,50.79
Dry Chillies,50.32,38.22,30.99,6.45,563.37,25.47,43.41
Dry Chillies,51.36,39.3,34.08,6.68,510.42,28.02,46.83
Dry Chillies,50.5,37.98,39.44,6.76,889.2,24.21,58.58
Dry Chillies,58.1,33.86,38.74,6.54,828.09,29.92,49.5
Dry Chillies,57.55,35.3,34.0,6.67,787.24,28.68,48.37
Dry Chillies,53.79,37.8,35.22,6.18,952.26,22.33,45.34
Dry Chillies,59.42,34.31,31.91,7.39,860.92,25.44,54.08
Dry Chillies,53.48,31.02,38.1,7.32,629.81,26.83,51.72
Dry Chillies,56.76,39.97,32.51,7.34,719.0,22.42,52.94
Dry Chillies,56.32,37.57,38.77,6.39,728.38,25.23,57.97
Dry Chillies,54.79,31.8,38.26,6.53,701.73,23.38,51.09
Dry Chillies,51.89,37.99,34.19,6.42,732.33,27.27,45.79
Dry Chillies,55.18,32.68,38.43,6.41,784.54,21.53,57.39
Dry Chillies,59.87,33.78,38.2,6.05,679.47,28.27,50.91
Dry Chillies,55.59,39.02,31.79,7.01,717.8,23.12,48.65
Dry Chillies,56.6,32.61,33.45,6.37,901.77,21.87,59.16
Dry Chillies,55.69,32.55,37.33,6.78,755.69,24.73,53.43
Dry Chillies,51.72,30.83,33.74,6.57,760.78,22.25,46.82
Dry Chillies,50.83,36.54,35.52,7.21,595.1,20.3,56.19
Dry Chillies,57.19,31.73,33.12,6.27,514.25,25.89,57.66
Dry Chillies,55.3,36.36,32.27,6.36,991.64,26.36,49.08
Dry Chillies,56.74,39.27,39.19,6.31,997.62,20.1,49.67
Dry Chillies,50.11,37.78,30.2,6.66,844.24,29.36,58.12
Dry Chillies,57.76,35.97,30.22,7.44,974.37,29.21,54.55
Dry Chillies,57.05,37.09,33.89,6.83,942.29,21.5,56.3
Dry Chillies,54.96,30.67,32.18,6.89,712.69,26.59,54.05
Dry Chillies,57.54,36.96,34.98,6.59,846.24,21.28,53.05
Dry Chillies,54.37,35.7,32.59,6.71,901.01,29.53,40.61
Dry Chillies,53.88,34.75,33.74,6.04,762.81,23.63,40.61
Dry Chillies,58.23,32.74,38.76,7.2,711.88,28.2,42.29
Dry Chillies,53.21,39.63,37.29,6.71,514.28,28.51,51.55
Dry Chillies,51.54,30.05,38.22,6.51,623.31,28.21,57.56
Dry Chillies,56.76,35.87,35.92,7.35,950.82,20.02,43.68
Dry Chillies,51.94,38.67,32.67,7.34,707.8,29.76,49.43
Dry Chillies,59.39,34.24,30.86,6.67,977.1,28.44,41.92
Dry Chillies,52.77,32.76,35.7,6.4,707.2,25.15,46.42
Dry Chillies,52.9,38.18,36.85,6.08,645.44,23.84,45.04
Dry Chillies,57.14,35.54,35.43,6.16,723.97,25.17,43.01
Dry Chillies,59.36,37.9,39.72,6.14,902.9,20.81,55.86
Dry Chillies,58.43,38.08,37.01,6.1,618.36,25.99,50.33
Dry Chillies,52.32,32.86,36.15,6.79,900.71,21.66,57.58
Dry Chillies,50.89,30.86,38.28,7.49,909.17,23.33,48.34
Dry Chillies,59.36,35.45,34.47,7.08,885.22,22.38,54.65
Dry Chillies,57.43,32.78,34.58,7.05,937.08,29.31,57.82
Dry Chillies,56.96,32.82,33.4,6.12,539.85,28.46,44.36
Dry Chillies,52.52,39.79,37.81,7.43,911.81,25.53,49.28
Dry Chillies,58.25,30.31,36.8,7.04,844.16,21.92,49.31
Dry Chillies,55.71,36.25,31.78,6.48,753.85,29.08,51.75
Dry Chillies,56.55,31.26,37.16,7.26,829.81,28.49,52.33
Dry Chillies,51.77,38.27,34.54,6.5,593.88,27.56,54.06
Dry Chillies,58.92,32.6,35.28,6.51,975.56,21.24,59.89
Dry Chillies,53.54,30.97,32.49,6.96,540.88,26.87,53.83
Dry Chillies,56.78,30.53,39.47,6.97,911.08,28.53,55.61
Dry Chillies,57.24,33.57,31.81,6.29,921.92,27.09,42.14
Dry Chillies,50.61,33.25,37.15,6.56,951.68,24.49,51.03
Dry Chillies,57.1,36.13,38.75,7.01,709.11,24.89,50.44
Dry Chillies,56.83,30.9,31.12,6.54,882.69,26.3,40.7
Dry Chillies,53.74,34.81,39.85,6.63,801.44,20.91,40.09
Dry Chillies,51.75,33.77,32.38,7.02,749.87,21.87,56.45
Dry Chillies,58.47,36.53,38.22,6.5,728.18,20.32,47.97
Dry Chillies,54.89,31.18,31.15,7.15,514.03,29.16,44.8
Dry Chillies,51.41,38.48,30.23,6.74,758.96,27.54,44.24
Dry Chillies,56.38,38.57,33.88,7.41,778.95,21.72,43.39
Dry Chillies,59.22,35.24,34.08,6.7,954.14,26.08,59.38
Dry Chillies,54.65,36.17,38.18,6.32,562.91,27.49,53.8
Dry Chillies,59.87,30.77,39.77,6.17,744.93,23.21,43.62
Dry Chillies,50.71,37.23,31.46,6.52,531.19,24.84,52.71
Dry Chillies,55.27,35.23,37.58,6.58,724.38,27.01,56.88
Dry Chillies,55.27,38.45,34.11,6.7,734.33,26.74,58.14
Dry Chillies,51.49,38.13,39.89,7.2,791.43,21.21,44.34
